,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
212,New York City Department of Youth and Community Development,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/dycd/html/home/home.shtml,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.ï¿½Our central task is administering available City, state, and federal funds to effective community-based organizations.ï¿½Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management.",,,,,,,,,,,,,,,,N,,
213,"University Settlement Society of New York, Inc",N,N,Y,N,N,,2126749120.0,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,184 Eldridge Street,New York,,10002.0,http://www.universitysettlement.org/,,"{'latitude': '40.720653', 'longitude': '-73.990674'}",MANHATTAN,40.720653,-73.990674,3.0,1.0,18.0,1005483.0,1004150018.0,Chinatown                                                                  ,11723.0,70.0,4.0,32.0,2.0,,,
214,Black Veterans for Social Justice,Y,N,N,N,N,7188524805.0,7188526004.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,665 Willoughby Street,Brooklyn,N,11206.0,http://www.bvsj.org,"Black Veterans for Social Justice, Inc. has obtained thirty-four (34) residential housing facilities, housing over 300 ex-homeless veterans and their families, one temporary emergency menâ€™s shelter, â€œPamoja Houseâ€ of 200 beds, and one single room occupancy facility with 175 rooms of permanent housing for veterans (Veterans Residence). Within these facilities we provide social services, mental health services, vocational training, employment referrals and permanent employment opportunities. We also provide Rental Assistance services (RAP) and Temporary Aid to needy Families (TANF). 

BVSJ Veteran Resource Center is where veterans are assisted with Employment Services Program (VESP), Homeless Veterans Reintegration Program (HVRP), small business education, home ownership workshops, military issues workshops, compensation, upgrading discharges and referral for legal advocacy as well as the outreach of our Community Affairs Office, our network linkage to various resources for Veterans and the people in our community.",,,,,,,,,,,,,,,,N,,
215,Girls Incorporated,N,N,Y,N,N,,2125092000.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 Wall Street; Third floor,New York,N,10005.0,http://www.girlsinc.org,"Girls Incorporated is a nonprofit organization that inspires all girls to be strong, smart, and bold.  With local roots dating to 1864 and national status since 1945, Girls Inc. has responded to the changing needs of girls through research-based programs and public education efforts that empower girls to understand, value, and assert their rights.  In 2007, Girls Inc. reached over 900,000 girls through Girls Inc. affiliates, our website, and educational publications.","{'latitude': '40.70438', 'longitude': '-74.006427'}",MANHATTAN,40.70438,-74.006427,1.0,1.0,7.0,1000871.0,1000370001.0,Battery Park City-Lower Manhattan                                          ,11726.0,56.0,4.0,32.0,1.0,Y,,97 organizations across the U.S. and Canada
216,"Loisaida, Inc.",N,N,Y,N,N,,2123530272.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,12 Avenue D,New York,,10009.0,http://loisaidainc.org/htm/,"Loisaida, Inc is a community-based organization founded in 1979 at a time when the neighborhood was confronted with violence, drugs, gangs, and poverty. At that time 126 agencies, businesses, and individuals formed a Task Force to address the problems and","{'latitude': '40.720462', 'longitude': '-73.978369'}",MANHATTAN,40.720462,-73.978369,3.0,2.0,20.0,1078045.0,1003560001.0,Lower East Side                                                            ,11723.0,70.0,4.0,50.0,5.0,,,
217,COMMUNITY BOARD 1 CERT TEAM,Y,N,N,N,N,,9174421645.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Published,366 HEWES STREET,BROOKLYN,Y,11211.0,,"During non-emergency situations, NYC CERTs educate their communities on emergency preparedness by working with the Ready New York program and building community disaster networks","{'latitude': '40.707949', 'longitude': '-73.951621'}",BROOKLYN ,40.707949,-73.951621,1.0,34.0,527.0,3256410.0,3024390001.0,North Side-South Side                                                      ,17613.0,36.0,2.0,30.0,56.0,N,,
218,Scenarios USA,Y,N,N,N,N,7182304381.0,7182305125.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80 Hanson Place, Suite 305",Brooklyn,N,11217.0,http://www.scenariosusa.org,"Scenarios USA is a 501(c)3 nonprofit organization that that uses writing and filmmaking to foster youth leadership, advocacy and self-expression in under-served teens. Scenarios USA asks teens to write about the issues that shape their lives for the annual ""What's the REAL DEAL?"" writing contest, and thousands have responded with their raw and revealing insights. 

The winning writers are partnered with some of Hollywood's finest filmmakers to transform their stories into award-winning short films. 15 million people a year watch the Scenarios USA films at film festivals, on television and in high schools nationwide. Scenarios USA believes that by valuing youth and listening to their opinions we can have an impact on promoting healthy relationships and lowering the rate of HIV, STDs and pregnancy among teens.","{'latitude': '40.685488', 'longitude': '-73.974421'}",BROOKLYN ,40.685488,-73.974421,2.0,35.0,35.0,3057479.0,3020030034.0,Fort Greene                                                                ,17619.0,68.0,2.0,48.0,55.0,Y,,"Cleveland, OH and Madison Wisconsin"
219,Dwa Fanm,Y,N,N,N,N,7182303194.0,7182304027.0,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Published,PO BOX 23505,Brooklyn,N,11202.0,http://www.dwafanm.org,"Dwa Fanm (meaning ""Women's Rights"" in Haitien Creole) is a Haitian Women's rights organization committed to empowering all women and gilrs wiht the freedom to define and control thier own lives. Through advocacy and grassroots programs, Dwa Fanm works to end discrimination, violence and other forms of justice here an abroad.",,,,,,,,,,,,,,,,N,,
220,"Kingsbridge Heights Community Center, Inc.",N,Y,N,N,N,,7188840700.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,3101 Kingsbridge Terrace,Bronx,,10463.0,http://www.khcc-nyc.org/,"Our programs are offered for all members of the community. We have programs for all ages: early childhood, youths, adults and seniors.","{'latitude': '40.877505', 'longitude': '-73.90033'}",BRONX    ,40.877505,-73.90033,8.0,14.0,277.0,2015788.0,2032570111.0,Van Cortlandt Village                                                      ,11272.0,48.0,5.0,29.0,33.0,,,
221,Harlem Children's Zone,N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,"New York, NY",N,,,,,,,,,,,,,,,,,,,N,,
222,Ozanam Hall of Queens Nursing Home,N,N,N,N,N,,7184232000.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,42-41 201 St.,Bayside,,,http://www.ozanamhall.org/,"There's no place like home and that is just what our sick and frail elderly residents have been calling Ozanam Hall in Queens, New York for the past 30 years. Guided by the Carmelite Mission to bring dignity and quality of life to the care of the elderly ",,,,,,,,,,,,,,,,,,
223,Jewish Institute of Queens,N,N,N,Y,N,,7186426800.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,60-05 Woodhaven Boulevard,Elmhurst,,11373.0,http://queensgymnasia.org/index.html,The Jewish Institute of Queens is an exciting and innovative place for children to grow and learn. The entire staff is dedicated to providing an education that will prepare every child for future academic success. ,"{'latitude': '40.731256', 'longitude': '-73.871561'}",QUEENS   ,40.731256,-73.871561,6.0,29.0,687.0,4072178.0,4030880001.0,Rego Park                                                                  ,14784.0,40.0,3.0,28.0,70.0,,,
224,Addiction Research and Treatment Corp.,Y,N,Y,N,N,,7182602900.0,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,22 Chapel Street,BROOKLYN,N,11201.0,http://www.artcny.org,SUBSTANCE ABUSE TREATMENT PROGRAM,"{'latitude': '40.697243', 'longitude': '-73.986217'}",BROOKLYN ,40.697243,-73.986217,2.0,33.0,13.0,3000208.0,3001190055.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865.0,68.0,2.0,38.0,54.0,N,,
225,Women's National Republican Club,N,N,Y,N,N,2129778972.0,2125825454.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,3 West 51 St.,New York,,,http://www.wnrc.org,"The Women's National Republican Club is unique. It is the oldest national club for Republican women and the only one to provide its members with a Clubhouse. The Clubhouse is owned by the Club's members, and the Club is a separate entity not officially or",,,,,,,,,,,,,,,,,,
226,Socrates Sculpture Park,N,N,N,Y,N,,7189561819.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,P.O. Box 6259,Long Island City,,,http://www.socratessculpturepark.org/,,,,,,,,,,,,,,,,,,,
227,Trinity Lutheran Church,N,N,Y,N,N,2126639675.0,2122227045.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,164 West 100th Street,New York,N,10025.0,http://www.trinitylutheranNYC.org,"Trinity Lutheran Church seeks to bridge the social, economic, and cultural distances between our neighbors.  We consider no one a stranger and sponsor programs to serve those who are becoming increasingly marginalized, specifically those who are poor, lower income, undocumented, and/or
homeless.  These programs are offered with no spiritual strings attached.","{'latitude': '40.796423', 'longitude': '-73.967972'}",MANHATTAN,40.796423,-73.967972,7.0,7.0,185.0,1055907.0,1018520059.0,Upper West Side                                                            ,12422.0,20.0,4.0,23.0,15.0,N,,
228,Midwood Development Corporation,Y,N,N,N,N,,7183760999.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1416 Avenue M,Brooklyn,,11230.0,,,"{'latitude': '40.617962', 'longitude': '-73.960396'}",BROOKLYN ,40.617962,-73.960396,14.0,48.0,768.0,3180877.0,3067430006.0,Midwood                                                                    ,13513.0,60.0,2.0,15.0,43.0,,,
229,Queens County Mental Health Society,N,N,N,Y,N,7184644081.0,7184642552.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80-45 Winchester Boulevard, CB49",Queens Village,,,,,,,,,,,,,,,,,,,,,,
230,Teachers and Writers Collaborative,N,N,Y,N,N,,2126916590.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,5 Union Square West,New York,,,http://www.twc.org/,Writers-in-Residence Program,,,,,,,,,,,,,,,,,,
231,"Redstockings, Inc.",N,N,Y,N,N,,2129296720.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,POB 744 Stuyvesant Station,New York,,,http://www.redstockings.org,,,,,,,,,,,,,,,,,,,
232,Neighborhood Women of Williamsburg/Greenpoint,Y,N,N,N,N,7183880285.0,7183886666.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,249 Manhattan Ave.,Brooklyn,,,,"Currently giving educational support to youth who have dropped out, NWWG Historically grew out of a desire to provide support, information, recognition, and assistance for low- and moderate-income women working to improve their quality of life, their fami",,,,,,,,,,,,,,,,,,
233,Women for Hire,N,N,Y,N,N,,2122902600.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,545 8th Ave,New York,N,10018.0,http://www.womenforhire.com,"Founded in 1999 as the first and only company devoted to a comprehensive array of recruitment services for women, Women For Hire offers signature career expos, inspiring speeches and seminars, a popular career-focused magazine and customized marketing pro","{'latitude': '40.754296', 'longitude': '-73.991944'}",MANHATTAN,40.754296,-73.991944,4.0,3.0,111.0,1013622.0,1007610033.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12080.0,12.0,4.0,10.0,8.0,N,% DORA DVIR,
234,Mayor's Office for People with Disabilities,Y,Y,Y,Y,Y,,2126399675.0,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/mopd/html/home/home.shtml,"The Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities. In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to bring about dialog that leads to meaningful outcomes.",,,,,,,,,,,,,,,,N,,
235,MercyFirst,Y,N,N,Y,N,,7182321500.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,525 Convent Road,Syosset,,11791.0,http://www.mercyfirst.org/,"MercyFirst is one of New York’s leading not-for-profit human service agencies serving more than 4,000 children, teenagers and families each year in Brooklyn, Queens, Nassau and Suffolk counties.

Founded by the Sisters of Mercy as sister orphanages, Angel",,,,,,,,,,,,,,,,,,
236,Women's City Club of New York,N,N,Y,N,N,2122284665.0,2123538070.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,307 Seventh Avenue,New York,N,10001.0,http://www.wccny.org,"Since its founding by suffragists in 1915, the Womenâ€™s City Club has worked to shape public policy that promotes responsive government and improves the lives of all New Yorkers. A nonpartisan, nonprofit organization, the WCC pursues a multi-issue agenda through education, issue analysis, advocacy and civic participation.","{'latitude': '40.746869', 'longitude': '-73.993616'}",MANHATTAN,40.746869,-73.993616,5.0,3.0,95.0,1015061.0,1008030004.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,7.0,N,Suite 1403,
237,Women's Army Corps Veterans Association,N,N,N,Y,N,,7186340353.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Published,"121-16 Ocean Promedade, #3H",Rockaway Park,,,,,,,,,,,,,,,,,,,,,,
238,"FRIA, Inc,",Y,Y,Y,Y,Y,2127326945.0,2127325667.0,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"18 John Street, Suite 905",New York,N,10038.0,http://www.fria.org,FRIA is the leading independent provider of information on all aspects of long term health care in New York State.,"{'latitude': '40.709883', 'longitude': '-74.008931'}",MANHATTAN,40.709883,-74.008931,1.0,1.0,1502.0,1001097.0,1000650007.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0,N,,
239,Metastatic Breast Cancer Network,N,N,Y,N,N,,8885000370.0,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,PO Box 1449,New York,N,10159.0,http://www.mbcnetwork.org,MBCN is a national independent advocacy group of and for individuals with metastatic breast cancer. We give those living with stage 4 breast cancer a greater voice in the breast cancer community. MBCN is dedicated to helping those with metastatic breast cancer be their own advocate through providing education and information on treatments and coping with the disease.,,,,,,,,,,,,,,,,N,,
240,National Council for Research on Women,N,N,Y,N,N,2127857850.0,2127857335.0,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,11 Hanover Square,New York,N,10005.0,http://www.ncrw.org/,"The National Council for Research on Women is a network of 120 research, policy and advocacy centers dedicated to improving the lives of women and girls both nationally and globally.

With a Corporate Circle of major companies and a Presidents Circle of current and former leaders from higher education, NCRW works across sectors to eliminate barriers to women's and girls' advancement.

Through programs such as its Big Five campaign focused on economic security, health, education, violence and immigration, NCRW works to raise public awareness about current disparities in the economy, workplace and society and to share best practices on how to narrow the gender gap.

At its annual conference, Awards Dinner, and special events throughout the year, the Council hosts panels and strategic consultations about cutting edge issues. NCRW also conducts ad hoc research for key stakeholders and partners and brings the research community closer to policymakers and change agents across silos and areas of expertise.

The overarching aim of NCRW's work is to bring about transformative change that moves toward a more equitable, inclusive and sustainable future.","{'latitude': '40.705371', 'longitude': '-74.008516'}",MANHATTAN,40.705371,-74.008516,1.0,1.0,7.0,1000833.0,1000280012.0,Battery Park City-Lower Manhattan                                          ,11726.0,56.0,4.0,32.0,1.0,N,24th Floor,
