,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
293,sue rock originals EVERYONE,Y,N,N,N,N,,3473658747.0,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Brooklyn,http://www.suerockoriginals.blogspot.com,N,"Sue Rock Originals is a creative design house specializing in crocheted and hand knit garments and accessories! Sue Rock Everyone brings together a community of knitters under the New york Yarn Exchange, an innovative program that combines an old fashioned knitting circle, with a worthy cause!",N,,,,,,,,,,,,,,,,,,
294,Center for Constitutional Rights,N,N,Y,N,N,2126146499.0,2126146464.0,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"666 Broadway, 7th Fl.",New York,http://www.ccr-ny.org/v2/home.asp,N,"Founded in 1966 as a non-profit legal and educational organization dedicated to advancing and protecting the rights of guaranteed by the U.S. Constitution and the Universal Declaration of Human Rights. Through legal action, supports women's autonomy in their reproductive choices, personal relationships and economic lives. Recent caseload has focused on reproductive rights and violence against women, issues of poor women and women of color, health care, violence against lesbians and gays, and rape as a war crime.",N,,,,,,,,,,,,,,,,,,
295,The Educational Equity Center at The Academy for Educational Development,N,N,Y,N,N,2126270407.0,2122431110.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,100 5th Ave Floor 8,New York,http://edequity.org/,N,"EEC at AED is an outgrowth of Educational Equity Concepts, a national not-for-profit organization with a 22-year history of promoting educational excellence for all children.We develop programs and curriculum, targeting grades preK-8, that can be incorporated into school curriculum and administered in afterschool settings. 
We identify content areas where bias exists and has long-term consequences. 
We research and field test programs and solicit feedback from teachers, administrators, parents, and children. 
We provide professional development and technical assistance around equity-based practices to schools and community-based programs. 
We foster family involvement in school and after school.",N,"{'latitude': '40.736881', 'longitude': '-73.992992'}",MANHATTAN,40.736881,-73.992992,5.0,3.0,54.0,1080621.0,1008177502.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,10011.0,12074.0,11.0,4.0,10.0,7.0,
296,"CAMBA, Inc.",Y,Y,N,N,Y,7182870857.0,7182872600.0,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Published,1720 Church Avenue,Brooklyn,http://www.camba.org,N,"CAMBA is a non-profit agency that provides services that connect people with opportunities to enhance their quality of life. CAMBA offers integrated services and progams in:  Economic Development, Education & Youth Development, Family Support Services, HIV/AIDS Services, Housing Services & Development, and Legal Services. CAMBA serves more than 35,000 individuals and families, including 8,000 youth, each year.  Specifically, we help people of low-income; those moving from welfare to work; people who are homeless, at risk of homelessness or transitioning out of homelessness; individuals living with or at risk of HIV/AIDS; immigrants and refugees; children and young adults; entrepreneurs and other groups working to become self sufficient.  The majority of CAMBA's clients live, work and/or attend school in Brooklyn.  CAMBA's programs are run from over 50 locations in New York City, mainly in Brooklyn including more than 15 school-based programs.  In Staten Island, we provide services to the Liberian refugee community.  We also have a satellite site that provides HomeBase services. HomeBase provides the following services to qualified clients: Entitlements 
Advocacy, Budgeting & Financial Workshops, Education & Employment Services, Legal Services, Informal Mediation, Child Health and Safety Support and Financial assistance. 
In the Bronx, we run a Relationship Abuse Prevention Program (TeenRAPP)for students at Health Opportunities High School.",N,"{'latitude': '40.649339', 'longitude': '-73.963307'}",BROOKLYN ,40.649339,-73.963307,14.0,40.0,512.0,3341487.0,3050970085.0,Flatbush                                                                   ,,11226.0,13510.0,60.0,2.0,11.0,43.0,
297,Allen AME Preservation & Development Corporation,N,N,N,Y,N,7186580457.0,7186586660.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,114-02 Guy R. Brewer Blvd.,Jamaica,http://www.allenhousing.org/nys.html,N,"The mission of Allen AME Neighborhood Preservation & Development Corp. is to improve the quality of human life, individually and collectively, by promoting housing and commercial development, rehabilitation and revitalization in the following ways: 
â€¢  Participation in new construction projects which will be of benefit to the entire community. 
â€¢  Development of repair incentive grant programs for homeowners. 
â€¢  Form linkages with, and provide technical assistance to other organizations and government agencies to develop and implement programs in the housing arena. 
â€¢  Development and/or rehabilitation of commercial and community facilities to bring in needed ancillary services and goods.  â€¢  Provision of counseling services to avert foreclosure. 
â€¢  Promotion and oversight of low-cost home repairs/improvements. 

â€¢  Rehabilitation of existing housing and promotion for sale as affordable housing. 
â€¢  Rehabilitation and development of vacant housing units. The corporation provides direct home improvement service and has sponsored many units of affordable housing.",N,,,,,,,,,,,,,,,,,,
298,TAPS (Tragedy Assistance Program for Survivors),Y,Y,Y,Y,Y,,2025888277.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,"National Headquarters, 910 17th Street, NW, Suite","Washington, D.C.",http://www.taps.org/,N,"Founded out of tragedy in 1994, TAPS has grown and established itself as the front line resource to families and loved ones of our military men and women.ï¿½ TAPS has provided comfort and care, 24 hours a day, 7 days a week through comprehensive services and programs including peer based emotional support, case work assistance, crisis intervention, and grief and trauma resources.",N,,,,,,,,,,,,20006.0,,,,,,
299,Haitian Centers Council,Y,N,N,N,N,7189405296.0,7189405200.0,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,10 St. Paul's Place,Brooklyn,,N,Services include immigration/refugee assistance; citizenship education; public education using local french/creole media; health education; housing; senior citizens; AIDS eduation and prevention; parenting skills; domestic violence prevention; cultural enrichment; dropout prevention; youth services; family services.,,"{'latitude': '40.653695', 'longitude': '-73.964022'}",BROOKLYN ,40.653695,-73.964022,14.0,40.0,50804.0,3328161.0,3050520027.0,Flatbush                                                                   ,,11226.0,13510.0,60.0,2.0,11.0,43.0,
300,Social Securty Administration,Y,Y,Y,Y,Y,,2122642500.0,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Published,26 Federal Plaza  Room 40-120,New York,http://www.socialsecurity.gov,N,"Social Security Retirement, Disability and Survivors Insurance programs are federal insurance programs for workers administered by the Social Security Administration.  Enacted in 1935, the Social Security Act originally was a retirement program intended to provide financial support for elderly workers who coould no longer perform gainful labor.  In more than half a century since its enactment, coverage has been added for other groups of workers.  Social  Security also administers a needs based program called Supplemental Security Income(SSI) for those who do not have sufficient coverage to entitle them to Social Security benefits and who meet certain income and resource limits. 
Nearly 60 percent of the people receiving Social Security benefits are women.  In the 21st century, more women work, pay Social security taxes and earn credit toward their own monthly retirement income than in any other time in our nation's history. Women tend to care for many people including spouses, children and parents.  Women are more likely to earn less over their lifetimes than men.  Women are less often covered by private retirement plans and more dependent on Social Security- and for a longer period of time since, on average, women live about five years longer than men. When women work, they pay taxes into the Social Security system, providing their own benefits. Women who do not work are often covered through their husbands' work and can receive benefits based on their current husband or prior husband's work record when they retire, become disabled or die. Women should remember to contact Social Security to correct the information Social Security has for them, if they change their name through divorce or marriage
For information on benefits, entitlement, and eligibility go to www.socialsecurity.gov/women. The web site has a specific section devoted to women's issues. At age 65, most women will be eligible for Medicare Par A if they are eligible for benefits on their own record or on their husband's record.  Women will have the opportunity to buy Medicare medical insurance (Part B) for a monthly premium.  If they are not eligible for a benefit because they do not have enough credits, they can purchase Medicare coverage by paying a monthly premium.  For more information, go to  www.Medicare.gov or call the toll-free Medicare information number at 1-800-633-4227. For more Social Security information visit our web site at www.socialsecurity.gov.  If you do not have access to a computer, we have a toll free number at 1-800-772-1213 with representatives available from 7am to 7pm Monday through Friday.  Information is provided on a 24-hour basis by automated phone service. For the deaf or hard of hearing, you may call our TTY number, 1-800-325-0778.",Y,"{'latitude': '40.716015', 'longitude': '-74.004744'}",MANHATTAN,40.716015,-74.004744,1.0,1.0,31.0,1001674.0,1001560050.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10278.0,10365.0,56.0,4.0,32.0,2.0,National
301,VHA New York Harbor Healthcare-Brooklyn Campus,Y,N,Y,Y,Y,7184394116.0,7188366600.0,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Published,800 Poly Place,Brooklyn,http://va.gov,N,Veterans hospital providing inpatient/outpatient care including mental health and social services.,N,"{'latitude': '40.609263', 'longitude': '-74.02399'}",BROOKLYN ,40.609263,-74.02399,10.0,43.0,164.0,3345707.0,3061530001.0,Bay Ridge                                                                  ,,11209.0,24334.0,10.0,2.0,44.0,41.0,
302,"American Mothers, Inc.",Y,N,N,N,N,,2127552539.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,296 E 21st Street,Brooklyn,http://www.americanmothers.org,N,The National AMI organization provides educational tools for mothers. Women can join local chapters of like-minded women for camaraderie and a positive resource as they learn and improve their parenting skills among friends. For mothers who are unable to.,,"{'latitude': '40.647133', 'longitude': '-73.959402'}",BROOKLYN ,40.647133,-73.959402,14.0,40.0,51001.0,,,Flatbush                                                                   ,,11210.0,13510.0,60.0,2.0,11.0,43.0,
303,International AIDS Prevention Initiative,N,N,Y,N,N,7347580466.0,2122262292.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"75 Varick Street, Suite 1404",New York,http://www.aidsquilt-nyc.org,N,"International AIDS Prevention Initiative has been in business for over 10 years.  Formerly, The NAMES Project New York City, Inc., our organization offers unique HIV/AIDS awareness, education, and prevention programs in New York City and throughout the world.",,"{'latitude': '40.723217', 'longitude': '-74.006227'}",MANHATTAN,40.723217,-74.006227,2.0,1.0,37.0,1002934.0,1002260001.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10013.0,12076.0,57.0,4.0,32.0,1.0,
304,East Bronx NAACP Day Care Center,N,Y,N,N,N,,7186172900.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1113 Colgate Avenue,Bronx,,,,,"{'latitude': '40.82629', 'longitude': '-73.881509'}",BRONX    ,40.82629,-73.881509,9.0,17.0,52.0,2023714.0,2037360001.0,Soundview-Bruckner                                                         ,,10472.0,11610.0,58.0,5.0,43.0,26.0,
305,Freedom Institute,N,N,Y,N,N,2128382275.0,2128380044.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"515 Madison Avenue, 35th Floor",New York,http://www.freedominstitute.org/,,,,,,,,,,,,,,,,,,,,,
306,Brooks Senior Center,N,N,N,Y,N,7186582006.0,7182913935.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,143-22 109th Avenue,Jamaica,http://www.find-us.net/brooks,N,"OUR MOTTO IS... Sixty plus, Visit us! 
All Mature adults, 60 years or older should consider Brooks Senior Center their Neighborhood Social Club.
Eligibility for certain specialized services are determined via an income assessment.",N,,,,,,,,,,,,,,,,,,
307,"South Bronx Action Group, Inc.",N,Y,N,N,N,7189937904.0,7189935869.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"384 East 149th Street, Suite 224",Bronx,,Y,Housing Assistance and Immigration,N,"{'latitude': '40.816241', 'longitude': '-73.918355'}",BRONX    ,40.816241,-73.918355,1.0,17.0,65.0,2000851.0,2023270054.0,Melrose South-Mott Haven North                                             ,,10455.0,10933.0,49.0,5.0,43.0,23.0,
308,Association of the Bar of the CIty of New York - Immigrant Women and Children Project,Y,Y,Y,Y,Y,2123547438.0,2123824711.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,42 West 44th Street,New York,http://www.abcny.org,N,Immigration assistance for victims of domestic violence and human trafficking.,,"{'latitude': '40.755376', 'longitude': '-73.981368'}",MANHATTAN,40.755376,-73.981368,5.0,4.0,96.0,1034204.0,1012590014.0,Midtown-Midtown South                                                      ,,10036.0,13094.0,11.0,4.0,51.0,8.0,
309,Alpha Kappa Alpha - Epsilon Pi Omega Day Care Center,N,N,N,Y,N,7183227139.0,7183226242.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,144-06 Rockaway Blvd.,South Ozone Park,http://www.akaepsilonpiomega.org/content/view/17/33/,N,IVY AKAdemy Day Care,,"{'latitude': '40.673735', 'longitude': '-73.794538'}",QUEENS   ,40.673735,-73.794538,12.0,28.0,790.0,4261925.0,4120620051.0,Baisley Park                                                               ,,11436.0,24671.0,41.0,3.0,46.0,71.0,
310,Association for the Advancement of Blind and Retarded,N,N,N,Y,N,7183218774.0,7183213800.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,15-08 College Point Boulevard,College Point,http://www.aabr.org,N,"Today, AABR, with a devoted staff of five hundred, is dedicated to the principles of quality care and personal growth.  As an organization, we are sensitive to the special needs of the handicapped.   Our staff encourages, teaches and inspires where ever there is a hint of talent to reassure timid attempts and applaud successes. 

        We are determined that each person in our care reach his or her highest level of capability. Past reflections inspire us to future visions. Our ideology is ""To strive, to seek, to find and not to yield.""",N,"{'latitude': '40.784042', 'longitude': '-73.845828'}",QUEENS   ,40.784042,-73.845828,7.0,19.0,925.0,4450798.0,4040767501.0,College Point                                                              ,,11356.0,14191.0,22.0,3.0,20.0,67.0,
311,"Amistad Early Childhood Educational Center, Inc.",N,N,N,Y,N,7185261527.0,7182623221.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,110-15 164th Place,Jamaica,,N,"The preschool offers an early childhood educational and recreational program, including a computer education program. The after-school (educational) provides homework assistance.",N,"{'latitude': '40.693627', 'longitude': '-73.786987'}",QUEENS   ,40.693627,-73.786987,12.0,27.0,264.0,4216947.0,4101930001.0,South Jamaica                                                              ,,11433.0,24668.0,41.0,3.0,6.0,71.0,
